route_id,stop_id,hour_of_day,day_of_week,is_weekend,stop_sequence,actual_delay_seconds,late_5min
Green,STOP_D,15,1,0,10,-128.56603999650503,0
Red,STOP_B,15,2,1,14,433.3113144699048,1
Blue,STOP_A,9,3,0,8,139.63459640267612,0
101,STOP_B,17,4,1,16,531.2341598320256,1
Red,STOP_C,12,1,0,18,266.0651251015148,0
101,STOP_D,15,1,0,11,-25.07602693043853,0
Blue,STOP_C,12,1,0,18,-28.4669052955102,0
Red,STOP_C,12,4,0,5,234.542228818133,0
Blue,STOP_B,20,5,0,12,559.4566223646366,1
Green,STOP_D,8,0,0,8,455.9569051202972,1
Blue,STOP_C,20,2,0,3,-84.71809904784533,0
101,STOP_C,8,5,0,9,339.74495734799257,1
Blue,STOP_C,14,3,0,15,-423.5406455380779,0
Blue,STOP_B,13,5,0,15,-96.66836074839927,0
Red,STOP_A,21,0,0,5,-259.33967933037314,0
101,STOP_A,19,2,0,19,-133.03788529857255,0
101,STOP_C,14,2,0,16,525.0229828401923,1
Blue,STOP_D,11,0,0,16,-14.497585658701013,0
Blue,STOP_A,18,1,0,3,-62.81906870904331,0
Red,STOP_B,10,2,0,5,41.50995366501432,0
Blue,STOP_A,16,3,1,10,682.1992528721335,1
Red,STOP_C,21,1,0,2,127.32363403284633,0
Green,STOP_A,16,0,1,12,270.1297721681472,0
Red,STOP_C,6,4,0,3,160.7027314581896,0
Red,STOP_D,18,5,1,12,71.79450583397693,0
Green,STOP_D,15,1,0,18,-73.71671473069222,0
Green,STOP_D,7,1,0,18,48.625120267559225,0
Blue,STOP_D,14,2,0,4,-556.4874804107878,0
Blue,STOP_C,10,4,0,1,-190.21317259583094,0
Blue,STOP_B,20,4,1,5,249.29180749619886,0
Red,STOP_C,18,4,0,6,-143.72554659328043,0
Red,STOP_C,20,5,0,1,275.75655176354985,0
101,STOP_C,14,2,0,14,637.4697791701356,1
Red,STOP_D,19,3,0,18,-171.0783873888028,0
101,STOP_D,20,3,0,7,126.27840631850331,0
101,STOP_C,7,2,0,14,25.28959434041691,0
Green,STOP_B,13,4,0,10,136.23289229402994,0
Blue,STOP_B,12,0,0,7,146.74446823371522,0
Red,STOP_B,11,5,0,3,58.772467453255075,0
Green,STOP_B,17,5,0,3,335.42171330429085,1
Green,STOP_C,15,1,0,13,84.25456778426219,0
Red,STOP_B,10,2,0,19,464.25778515422115,1
Green,STOP_D,13,0,0,19,-168.96569269966318,0
Red,STOP_D,12,2,0,5,251.1228030754451,0
101,STOP_C,10,1,0,16,104.49183335673037,0
101,STOP_A,10,0,1,9,144.49454206597468,0
Red,STOP_D,12,1,0,16,-64.95666104893664,0
Red,STOP_C,19,0,1,8,63.59187526213478,0
Green,STOP_D,9,3,0,8,355.36863812642514,1
Red,STOP_C,11,1,0,14,-70.66926377133598,0
101,STOP_D,6,4,0,2,16.959504400626713,0
Red,STOP_D,10,5,0,15,313.7743738756091,1
101,STOP_A,15,0,1,14,374.8820426844153,1
Red,STOP_C,12,2,1,14,-166.88199375427786,0
Green,STOP_D,19,2,0,16,-152.07690223494035,0
101,STOP_D,15,0,0,1,-6.644208609014768,0
Green,STOP_D,8,2,1,7,11.360654680823728,0
Blue,STOP_D,9,2,0,1,484.56397906166035,1
101,STOP_A,21,0,0,8,-13.034299497349423,0
Blue,STOP_C,20,1,0,13,346.9112953682941,1
Red,STOP_D,21,4,1,16,-574.2411753097435,0
Blue,STOP_D,12,3,0,18,676.650887945299,1
101,STOP_C,19,0,0,19,479.3202896860438,1
101,STOP_D,14,5,1,5,189.17134607330178,0
Red,STOP_D,12,2,0,11,-51.886262673331004,0
Green,STOP_A,18,3,1,9,780.5468721351683,1
Blue,STOP_C,13,0,1,18,354.5929009647185,1
Red,STOP_C,9,2,1,7,606.7691433044733,1
Red,STOP_B,8,3,1,5,357.7483267976548,1
Green,STOP_B,8,3,1,15,32.172530044168866,0
Green,STOP_C,18,0,0,1,186.4484134421909,0
Red,STOP_B,13,0,1,15,222.8191032959682,0
Blue,STOP_A,14,2,0,6,12.060344290616897,0
Blue,STOP_A,18,0,0,17,-157.8001682021885,0
101,STOP_D,15,0,1,5,-60.28289822766618,0
101,STOP_A,17,1,0,6,470.6245956521142,1
Green,STOP_A,13,3,0,14,36.0729813756782,0
101,STOP_A,20,2,1,10,513.0515223537667,1
Blue,STOP_D,12,2,0,19,97.45915158391855,0
Red,STOP_A,10,4,0,19,177.204868211388,0
Blue,STOP_C,6,3,0,11,-174.09651930987047,0
Red,STOP_B,15,5,0,14,444.362436609873,1
Red,STOP_C,17,5,1,17,521.7539543960154,1
101,STOP_D,16,4,0,3,130.49459256903395,0
101,STOP_A,6,4,0,5,655.1267617362664,1
101,STOP_A,14,1,0,18,363.9454484724639,1
101,STOP_B,14,2,0,13,86.43654798846185,0
Green,STOP_D,7,1,1,3,806.4166647786749,1
Green,STOP_C,21,4,0,2,-725.0725615563116,0
Red,STOP_D,19,3,1,7,328.3587646574607,1
Blue,STOP_B,10,3,0,17,-250.9555120540747,0
Blue,STOP_D,18,5,0,19,615.107421547566,1
Blue,STOP_D,18,1,0,2,337.8710107047762,1
Red,STOP_C,12,2,0,10,-450.5732680491103,0
Blue,STOP_A,12,0,0,1,221.5031582590692,0
Red,STOP_A,8,4,1,19,419.27930533819915,1
Green,STOP_A,14,2,0,9,211.6649176307093,0
Red,STOP_B,20,5,1,6,468.0162412429143,1
Red,STOP_A,14,3,1,3,242.35156085394215,0
Blue,STOP_D,16,0,1,11,488.7451428729546,1
Green,STOP_A,8,0,0,7,74.98800688209022,0
101,STOP_A,11,5,0,17,215.78539783566475,0
Blue,STOP_B,8,2,1,12,112.17432042088177,0
Red,STOP_B,20,2,0,9,108.05591546152418,0
Red,STOP_D,11,4,0,13,-19.007919403180978,0
Red,STOP_B,17,5,0,19,503.61014297250426,1
Green,STOP_B,21,3,0,2,-680.5601518222189,0
Green,STOP_B,11,5,1,19,581.7051294772004,1
101,STOP_B,15,1,0,5,-659.8504072695576,0
Red,STOP_D,8,4,1,6,192.00228951996286,0
Red,STOP_C,14,1,1,16,-218.90868334913296,0
101,STOP_B,14,4,0,12,52.72730384812826,0
Blue,STOP_A,10,3,0,8,275.0153268904975,0
Blue,STOP_D,9,4,0,5,636.2601551087039,1
101,STOP_C,14,0,0,11,-170.12484456997305,0
Blue,STOP_D,17,5,0,5,478.30122548002305,1
Red,STOP_A,13,3,1,11,545.6476887595302,1
Red,STOP_D,9,3,0,6,619.3343947295441,1
Green,STOP_C,8,3,0,9,270.4284054520997,0
Green,STOP_D,7,3,0,12,104.23811885377043,0
Green,STOP_C,20,4,0,8,-126.96995846757895,0
Green,STOP_A,19,1,0,7,140.474334463724,0
101,STOP_D,8,3,0,16,400.19587786858386,1
Blue,STOP_A,9,2,1,3,173.99419169811372,0
Blue,STOP_A,19,3,0,11,209.9919810871384,0
Blue,STOP_B,14,2,0,19,-2.720069824932537,0
Red,STOP_C,21,2,0,14,459.5207500419768,1
Blue,STOP_C,19,0,0,3,-263.8063148254028,0
101,STOP_B,20,0,0,19,-164.2342732283077,0
101,STOP_B,7,3,1,2,-30.793247096443793,0
Blue,STOP_B,16,2,1,18,542.9522080866002,1
Blue,STOP_D,17,2,0,8,405.6905604866199,1
Green,STOP_C,13,0,0,11,-511.0784435955692,0
Green,STOP_C,9,4,1,2,845.7089106353923,1
Red,STOP_D,19,4,0,10,-462.25111364317,0
Blue,STOP_C,12,3,1,13,-448.82772238956295,0
101,STOP_B,11,1,1,12,592.0951195640193,1
Red,STOP_A,14,2,0,16,-183.25080736112926,0
101,STOP_D,15,4,1,18,254.19055166801024,0
101,STOP_A,11,3,0,16,-284.43684303569245,0
Green,STOP_C,13,2,0,11,473.9750282268081,1
Blue,STOP_D,8,4,0,4,-10.661793953044594,0
Red,STOP_A,15,2,0,16,-352.46573114552496,0
Red,STOP_A,8,0,0,2,144.201760704831,0
Green,STOP_C,12,5,0,10,0.13595594530433175,0
Blue,STOP_A,9,4,0,7,251.5273949895734,0
Blue,STOP_A,14,5,0,1,444.2925180778427,1
Green,STOP_B,17,3,1,2,498.8050909977409,1
101,STOP_C,16,3,0,10,573.8487940195805,1
Blue,STOP_A,10,0,0,11,603.1153905729011,1
Red,STOP_B,15,0,1,1,5.306029244426028,0
101,STOP_B,12,0,1,17,243.1820006402014,0
Green,STOP_C,12,0,0,12,-67.47098093996732,0
101,STOP_B,12,2,0,5,-109.95818298387928,0
Red,STOP_B,8,5,0,10,695.9809664896261,1
101,STOP_D,17,0,0,3,122.80332002671904,0
Red,STOP_C,8,0,1,17,498.91215931295324,1
Blue,STOP_C,11,3,1,2,148.71899759136323,0
Green,STOP_C,6,1,0,17,250.78156860885,0
Red,STOP_C,9,2,0,2,268.49679472004107,0
101,STOP_D,20,2,0,8,770.6232037917769,1
101,STOP_C,18,3,0,17,313.84095404915644,1
Red,STOP_C,17,0,1,14,-244.96823558253567,0
Red,STOP_A,20,1,0,13,-358.62560311167897,0
Green,STOP_C,9,2,0,5,571.1171454388913,1
101,STOP_B,19,0,1,6,356.36053610650936,1
Red,STOP_C,16,0,0,12,837.5960136327014,1
101,STOP_C,15,1,0,9,-385.9995395926285,0
101,STOP_A,7,5,0,4,220.4652271308707,0
Red,STOP_A,8,3,0,2,679.9113802937491,1
Red,STOP_C,20,5,0,6,-177.88232139851056,0
Green,STOP_C,15,4,0,3,-294.14308006282283,0
101,STOP_B,11,4,0,9,-267.0844959659586,0
Blue,STOP_B,6,2,0,10,-9.525344549403457,0
Red,STOP_C,17,1,0,17,73.50386065054245,0
Red,STOP_D,15,3,0,4,118.46916599858477,0
Green,STOP_C,11,3,1,1,364.1498923835866,1
Blue,STOP_B,13,0,0,11,91.60928767642704,0
Blue,STOP_C,19,2,0,9,428.9382791992766,1
101,STOP_A,6,4,0,7,-178.56297207383267,0
101,STOP_D,20,4,0,16,192.26616887127983,0
Red,STOP_A,18,0,0,6,390.2285190158931,1
Red,STOP_A,14,1,0,3,203.7742994827314,0
Blue,STOP_A,10,5,0,13,378.2981443599151,1
Green,STOP_B,6,5,0,12,525.1635372269861,1
Green,STOP_B,18,2,1,8,-158.74608547446653,0
Blue,STOP_B,19,3,1,18,408.73608746702814,1
Blue,STOP_A,13,2,0,6,231.08156030175113,0
Green,STOP_C,6,4,1,12,-111.94578931418474,0
Blue,STOP_B,6,4,0,14,352.8875029368671,1
Green,STOP_D,20,5,1,7,-63.692221155647815,0
Red,STOP_D,18,5,0,9,202.51395336498186,0
Blue,STOP_C,18,1,0,11,505.2687335327178,1
101,STOP_D,15,3,0,2,625.7703049728543,1
Red,STOP_C,14,2,0,4,351.7102648386308,1
Blue,STOP_D,6,0,1,13,-33.99986707600962,0
Red,STOP_B,21,1,0,17,-328.4701133741007,0
101,STOP_C,16,5,1,5,626.9505785506568,1
Blue,STOP_B,7,5,1,10,-138.61987156808325,0
101,STOP_D,6,0,0,15,-380.29773752532054,0
Red,STOP_D,17,1,0,15,-64.39133891007094,0
101,STOP_B,15,2,1,9,115.05417699283802,0
Red,STOP_D,15,1,0,2,458.8413259179321,1
101,STOP_D,7,1,1,16,398.01371153562394,1
Red,STOP_B,7,5,0,16,668.7779784325311,1
Red,STOP_A,14,5,0,11,990.507991739365,1
Blue,STOP_D,12,1,1,19,122.83691367585148,0
Green,STOP_A,14,5,1,2,-453.7039898630113,0
Blue,STOP_C,6,0,1,15,-663.0435490520069,0
Blue,STOP_C,9,0,0,12,-241.5943044287662,0
Red,STOP_B,8,4,1,6,244.61368507214647,0
Green,STOP_C,17,4,0,19,377.9290645233379,1
101,STOP_C,10,3,0,4,-345.4714894137255,0
101,STOP_A,14,5,1,5,334.3911966384128,1
Red,STOP_D,11,3,0,1,269.6392262669974,0
101,STOP_D,8,0,0,1,61.43069496764909,0
Blue,STOP_A,17,3,0,7,418.0025471911035,1
101,STOP_D,14,4,1,14,388.77992175877574,1
Green,STOP_D,17,3,0,9,155.14109937590558,0
Red,STOP_A,17,5,0,1,177.82075854330733,0
Red,STOP_D,20,4,0,14,-445.23152104308156,0
Red,STOP_A,17,4,0,19,1007.5778001272968,1
Green,STOP_C,8,2,0,11,289.1001729688561,0
Green,STOP_B,19,0,0,2,374.91734140943623,1
Green,STOP_A,9,3,0,14,186.61829215646924,0
Red,STOP_D,14,2,0,10,27.692287847878717,0
101,STOP_C,14,3,0,4,514.3659754116464,1
Red,STOP_D,13,3,0,6,96.6432342306094,0
Red,STOP_B,6,3,0,14,390.24500885387005,1
101,STOP_B,6,1,0,6,305.5350447612304,1
Green,STOP_B,11,2,0,1,422.2481352855239,1
Red,STOP_B,14,5,0,18,-44.860829385943475,0
101,STOP_B,17,2,0,5,219.61369868493972,0
Blue,STOP_A,8,2,0,8,386.82393307604093,1
Blue,STOP_D,18,5,0,6,69.001380916621,0
Red,STOP_D,16,5,0,18,407.2025437629193,1
Blue,STOP_D,16,1,0,13,153.8697491229131,0
Blue,STOP_B,17,3,1,3,-92.08259805223193,0
Green,STOP_B,12,0,0,19,22.590737799843737,0
Blue,STOP_A,12,4,0,4,497.5442824436166,1
Green,STOP_C,13,4,0,11,-349.3871460609655,0
101,STOP_D,12,3,0,5,474.95475535709465,1
Green,STOP_B,16,5,0,19,1044.4669357858656,1
Blue,STOP_B,15,5,0,14,191.5008385652121,0
Blue,STOP_A,12,0,0,2,-379.65654245669725,0
Green,STOP_C,21,5,1,18,128.4957952473224,0
101,STOP_C,16,3,1,1,152.68019961841972,0
Green,STOP_C,10,0,1,18,395.57453653041733,1
Blue,STOP_C,7,2,0,4,-68.58231515844818,0
Green,STOP_D,10,5,1,17,-573.8258860805636,0
Green,STOP_A,18,0,0,4,500.8418217722474,1
101,STOP_A,17,1,0,14,106.66848304902828,0
Red,STOP_B,17,1,0,19,-314.19717321785726,0
Green,STOP_D,7,2,1,13,12.801815806815938,0
Green,STOP_A,14,2,0,11,137.83163336944853,0
Blue,STOP_A,10,2,0,4,279.7926674007614,0
101,STOP_B,10,3,0,3,-35.519921651076714,0
Green,STOP_C,11,0,1,8,283.80617994965615,0
Blue,STOP_C,12,0,0,7,411.379892007929,1
Red,STOP_B,8,3,0,10,150.72577164770024,0
Blue,STOP_C,6,2,0,17,-19.391166966243873,0
101,STOP_C,18,3,0,4,186.19255212278878,0
Blue,STOP_A,8,4,0,12,131.92116332826612,0
Red,STOP_A,13,3,0,19,245.30122674450456,0
Blue,STOP_B,17,1,1,6,-208.13949171893194,0
Blue,STOP_B,17,4,0,10,283.77970663648426,0
101,STOP_C,15,4,0,18,763.1416637740555,1
Red,STOP_A,11,0,0,9,-47.076598798436635,0
Red,STOP_D,9,3,1,14,525.6705377800187,1
101,STOP_C,14,2,0,18,249.71260431322403,0
Red,STOP_C,8,0,0,17,212.29902481344067,0
Blue,STOP_C,12,1,0,15,155.0063685867071,0
Red,STOP_B,21,2,0,2,-150.26333064726361,0
101,STOP_C,9,4,0,9,131.2889136922322,0
Green,STOP_D,13,2,1,8,419.39463282581386,1
101,STOP_C,10,1,0,19,-220.8305771046463,0
Green,STOP_C,11,0,0,10,149.18158225643072,0
Red,STOP_D,17,4,0,10,192.5676603579908,0
101,STOP_C,9,5,0,14,118.30278027960665,0
Blue,STOP_A,14,3,1,18,328.5382840497544,1
101,STOP_A,15,0,0,18,374.6033866234107,1
Green,STOP_C,13,1,1,10,328.5098050657737,1
Green,STOP_D,13,2,0,18,-15.63316444253772,0
Blue,STOP_A,21,3,1,14,-88.94703872792277,0
101,STOP_B,11,5,1,6,-144.1216560155566,0
101,STOP_D,8,0,0,3,-234.09441735497546,0
Blue,STOP_D,19,5,1,17,243.4301067344791,0
Green,STOP_A,14,0,1,16,-26.545702510723487,0
Blue,STOP_A,7,3,0,18,5.285005923738652,0
Green,STOP_B,20,2,0,9,-302.94996198099403,0
Blue,STOP_C,7,0,1,15,-38.65400291349573,0
Green,STOP_C,9,3,0,9,-70.93380626243163,0
101,STOP_C,13,3,0,5,46.81465829690126,0
Green,STOP_A,15,0,1,4,201.83643621543882,0
Red,STOP_A,17,0,0,6,633.8692117400905,1
Red,STOP_B,11,2,0,9,51.2891852658707,0
101,STOP_B,16,0,0,13,819.1045539945545,1
Blue,STOP_C,21,2,0,17,310.6717071773303,1
Red,STOP_A,10,3,0,6,-237.9986669456094,0
Blue,STOP_D,16,1,0,10,-216.72519210019385,0
Red,STOP_A,15,0,1,14,412.3023625223452,1
Blue,STOP_D,9,2,1,11,177.96775349147282,0
101,STOP_B,13,0,0,17,-249.77440314900952,0
Red,STOP_C,6,5,0,16,552.0985841770832,1
101,STOP_B,11,2,0,6,269.3228287152009,0
Green,STOP_A,19,3,1,18,269.83165245989994,0
Red,STOP_A,16,1,0,11,1163.4942005260102,1
Blue,STOP_C,13,0,1,16,601.7214037777826,1
Green,STOP_B,12,5,0,3,268.407078521592,0
101,STOP_A,7,4,0,15,270.26975868319965,0
Blue,STOP_B,9,1,0,15,107.32477819656035,0
Green,STOP_A,18,0,0,7,-284.98952227365476,0
Green,STOP_B,16,5,0,9,-230.36865589492862,0
Red,STOP_C,19,2,1,16,385.80086817892965,1
Green,STOP_D,7,5,1,9,-62.308785329304044,0
Green,STOP_B,14,5,0,8,35.55770579580103,0
Blue,STOP_B,17,4,0,13,403.827108824756,1
Green,STOP_A,6,4,0,14,256.76125508425076,0
Green,STOP_A,7,2,0,7,162.5778842325583,0
Red,STOP_A,10,5,0,2,97.61519408973571,0
Blue,STOP_D,19,0,1,13,-49.400521280648405,0
Red,STOP_B,18,1,0,4,587.4647683053871,1
Blue,STOP_D,8,0,1,1,-42.91564832380655,0
Green,STOP_C,9,2,1,13,802.8542159584484,1
Blue,STOP_D,6,4,0,6,467.5520365124939,1
Red,STOP_A,20,4,0,15,-22.894344960006975,0
Green,STOP_A,13,1,0,1,-72.03242547842748,0
Blue,STOP_C,8,1,0,15,303.66907843838965,1
Green,STOP_A,18,5,0,6,303.98502501452253,1
Blue,STOP_C,20,5,0,19,121.51995976740257,0
Blue,STOP_C,14,3,0,12,-71.92096103765604,0
Green,STOP_C,12,4,0,18,448.25126276165173,1
Blue,STOP_A,15,2,1,13,118.79640944472119,0
Green,STOP_C,17,5,0,7,59.613600840699846,0
Red,STOP_D,7,1,0,5,549.4244434334257,1
101,STOP_B,14,2,0,6,-727.9346782243463,0
Green,STOP_A,18,5,0,5,252.73353284914413,0
Blue,STOP_C,16,5,1,3,305.383204069244,1
Blue,STOP_D,16,1,1,8,-213.7170338347982,0
Blue,STOP_D,12,0,0,1,532.8230722663018,1
Blue,STOP_A,9,2,1,10,320.88592207296006,1
Red,STOP_C,10,5,0,5,21.895261049044677,0
Blue,STOP_A,7,2,0,16,-16.56313802975194,0
Red,STOP_A,21,2,0,6,216.40798607646434,0
Blue,STOP_A,16,0,1,12,847.1914173697324,1
Green,STOP_B,18,0,0,2,298.94858471599264,0
101,STOP_C,13,1,0,13,118.54807246919157,0
101,STOP_B,20,4,0,6,322.40335960668904,1
Green,STOP_B,14,3,0,1,182.3226564725998,0
Red,STOP_D,8,4,0,12,605.7719962017397,1
Red,STOP_B,15,1,0,8,-87.65319585031779,0
101,STOP_D,19,1,0,4,428.7283923483046,1
101,STOP_A,7,3,1,10,-79.87776733635249,0
101,STOP_C,21,3,1,15,18.371987155407624,0
Green,STOP_A,11,2,0,5,-239.9439014826766,0
Red,STOP_D,10,2,0,4,-214.91600133256077,0
Blue,STOP_C,7,2,0,4,172.74208144501964,0
101,STOP_D,20,3,0,6,-191.9588470549839,0
Green,STOP_B,6,2,1,15,-75.06185008827245,0
Red,STOP_C,19,4,1,16,449.64872700926117,1
Blue,STOP_B,7,3,1,13,156.55139210358172,0
Red,STOP_A,17,0,0,16,440.13916219999226,1
Green,STOP_D,8,0,1,9,-51.81195268761701,0
101,STOP_D,21,0,0,9,138.90964056514923,0
Red,STOP_C,16,5,1,4,150.13182869997078,0
Blue,STOP_A,12,4,0,3,447.82389447042556,1
Green,STOP_A,7,3,0,11,268.5241428605755,0
Red,STOP_A,19,1,0,11,587.6577661682065,1
Blue,STOP_B,15,1,0,1,270.4093087396443,0
Blue,STOP_C,18,2,0,4,25.521422436662817,0
Red,STOP_A,16,5,0,18,255.415609651227,0
101,STOP_A,15,1,0,1,193.55439958439462,0
Green,STOP_D,17,0,0,5,154.132261609803,0
Green,STOP_B,17,5,0,12,-66.56510159258855,0
Green,STOP_C,11,3,1,5,363.8218925635926,1
Green,STOP_C,8,5,0,6,276.56217765228774,0
101,STOP_B,9,1,1,12,362.94395110382595,1
Blue,STOP_A,21,4,0,13,435.6400152717506,1
Blue,STOP_C,14,1,0,17,-345.596408524069,0
Green,STOP_C,14,4,1,15,86.78687066461673,0
101,STOP_D,21,2,0,6,-239.82710060475245,0
Green,STOP_C,20,2,0,9,402.2239351003541,1
Red,STOP_C,15,5,0,11,-140.745562772423,0
Green,STOP_C,18,0,0,12,646.4329769212484,1
Green,STOP_A,20,3,0,1,281.7793649759109,0
Green,STOP_C,13,0,0,7,527.8892237859773,1
Green,STOP_A,6,4,0,6,-111.4680849779075,0
101,STOP_D,12,5,0,16,26.701381999978537,0
Green,STOP_C,8,4,0,10,238.95144303436442,0
101,STOP_A,12,5,0,6,-84.99185350235135,0
101,STOP_C,16,1,1,8,810.4174129692238,1
Green,STOP_C,20,0,0,4,523.7548189638462,1
101,STOP_B,14,2,0,6,-278.63339755531996,0
101,STOP_C,14,1,0,16,161.29258183296628,0
101,STOP_D,17,5,0,16,285.4777168716515,0
Blue,STOP_B,20,1,1,7,345.90333783628944,1
Green,STOP_D,15,1,0,4,-115.288591018333,0
Blue,STOP_D,7,0,1,1,508.36160020336,1
Green,STOP_D,16,1,1,12,563.2627866705088,1
Blue,STOP_B,20,5,1,19,145.3757166661115,0
101,STOP_D,12,3,0,11,-262.81625256109675,0
Red,STOP_C,13,3,0,6,367.0261935462015,1
Green,STOP_A,16,5,0,14,135.3108250623451,0
101,STOP_C,6,4,0,4,310.08699491263826,1
Green,STOP_B,16,3,0,19,-536.1214971987923,0
Red,STOP_B,18,5,0,12,-64.37123052264164,0
Blue,STOP_C,12,4,0,4,189.48024502665467,0
101,STOP_C,14,2,0,16,69.09430249294311,0
Blue,STOP_C,15,0,0,6,618.6162473939471,1
101,STOP_A,6,3,0,11,158.17715977691813,0
Blue,STOP_C,14,0,1,7,-149.7188554571307,0
Green,STOP_D,17,0,0,15,633.499512514308,1
Green,STOP_D,16,3,0,2,15.481160671340419,0
Blue,STOP_B,20,5,0,11,473.4124159861707,1
Red,STOP_B,6,2,0,14,441.04804083509634,1
Red,STOP_C,11,3,0,3,231.09034807641657,0
Green,STOP_D,13,5,1,6,61.72109941083011,0
Blue,STOP_B,20,1,1,2,533.4353455433269,1
Red,STOP_A,10,0,0,18,336.58905330933044,1
Green,STOP_A,18,2,1,18,487.0856462653247,1
101,STOP_D,18,0,0,19,174.18861547258166,0
Blue,STOP_B,19,4,0,19,304.0572914574734,1
101,STOP_A,6,2,0,17,213.82393389580713,0
Green,STOP_B,18,4,0,3,530.6433754609423,1
101,STOP_A,21,2,0,12,-27.379939303983946,0
Red,STOP_A,12,4,1,2,479.4265535345596,1
101,STOP_A,21,1,1,12,40.41626195369372,0
Red,STOP_A,14,3,0,11,110.38529591211879,0
101,STOP_C,14,2,0,10,-5.619967613633875,0
Red,STOP_C,13,1,0,14,38.775934518127215,0
Blue,STOP_D,16,1,0,19,24.12153799090993,0
Red,STOP_D,15,5,0,8,-104.29213353812571,0
Red,STOP_B,17,5,1,18,352.0015758552187,1
101,STOP_D,8,4,0,9,-57.09820823529418,0
Green,STOP_D,7,2,1,2,633.5007944358865,1
Green,STOP_C,8,2,1,16,90.69967954227121,0
Blue,STOP_B,19,3,0,7,-210.96154101706685,0
Green,STOP_D,13,5,0,16,-119.63646094602069,0
Green,STOP_B,16,4,0,14,409.61936157815217,1
Green,STOP_C,19,5,0,12,206.36679196955754,0
101,STOP_D,10,4,1,18,211.57354845833964,0
101,STOP_A,9,4,0,8,693.6001646876512,1
Red,STOP_D,6,1,1,3,418.47873440238,1
101,STOP_A,16,0,0,10,-54.80165055669366,0
Red,STOP_B,7,5,0,14,192.949958730154,0
101,STOP_D,13,4,0,14,120.78789811272881,0
Green,STOP_D,17,1,1,17,-263.50768963880216,0
Red,STOP_D,18,0,1,12,760.4086961304887,1
101,STOP_C,7,2,1,13,-87.00974152150457,0
Blue,STOP_D,9,5,0,8,192.44414005232338,0
Green,STOP_D,10,0,1,13,86.26609535470746,0
Green,STOP_C,14,2,0,7,158.39867983339036,0
101,STOP_A,14,4,0,6,-89.90737251707992,0
Blue,STOP_A,17,3,0,4,343.7404797499043,1
Blue,STOP_B,11,1,1,6,262.6980079069466,0
Blue,STOP_A,10,4,0,4,468.96492597839347,1
Green,STOP_D,20,1,1,19,69.73991668768522,0
Green,STOP_A,8,2,0,10,405.3714853109799,1
101,STOP_A,21,2,1,15,-111.62638989870777,0
101,STOP_B,14,3,0,7,-116.11642566977281,0
Green,STOP_A,18,5,0,13,23.61343673324714,0
Blue,STOP_C,14,2,0,11,156.09414250852416,0
Blue,STOP_A,9,1,1,1,-172.3362430808186,0
101,STOP_A,10,3,0,8,557.1419468623096,1
Blue,STOP_A,17,3,0,17,-40.42552802432576,0
Red,STOP_B,9,5,1,7,271.27113187005034,0
Red,STOP_A,15,4,0,11,354.35176885439915,1
101,STOP_B,9,3,0,13,205.40709425319258,0
Green,STOP_D,20,5,0,13,243.1751446660315,0
101,STOP_B,9,4,0,10,56.23745163181695,0
Blue,STOP_B,18,5,0,18,688.1746225577756,1
Red,STOP_A,12,2,1,16,-147.01690854591305,0
Green,STOP_A,19,1,0,12,26.76914123674885,0
Green,STOP_D,13,5,0,11,257.655145888639,0
101,STOP_A,17,1,0,11,-168.3012470529151,0
Blue,STOP_D,18,3,1,12,506.7925957081853,1
101,STOP_D,20,1,0,6,-48.72368412496661,0
Red,STOP_C,6,2,0,8,-589.4553209400684,0
Red,STOP_D,21,5,0,9,8.849647122611998,0
101,STOP_A,20,1,0,4,224.3286852021813,0
101,STOP_B,10,2,1,5,395.9774377503265,1
Green,STOP_D,9,2,0,12,886.2251475995607,1
101,STOP_D,10,2,0,3,221.31382527157024,0
Green,STOP_C,11,5,0,6,438.7982085058759,1
Green,STOP_B,21,4,0,8,-177.1763829013504,0
Blue,STOP_C,16,5,0,13,44.41112543721218,0
Red,STOP_B,14,5,0,11,203.01950116961973,0
101,STOP_B,13,3,0,17,641.0228327610197,1
Red,STOP_D,12,2,1,5,-44.19225475912822,0
101,STOP_B,20,2,1,16,180.9859402212302,0
Blue,STOP_D,7,5,1,14,354.7071319715344,1
Blue,STOP_D,16,4,0,3,-72.64589489644334,0
Blue,STOP_D,11,3,1,3,414.7568065592051,1
Red,STOP_A,20,5,1,11,-292.0680113147632,0
Green,STOP_C,14,5,0,17,995.3319336557137,1
Red,STOP_B,19,3,0,6,-42.77495955190099,0
Green,STOP_B,11,3,1,5,497.4865480498627,1
Red,STOP_A,14,0,0,9,41.61356902325491,0
Blue,STOP_C,18,4,0,14,60.82826072112576,0
101,STOP_D,14,3,1,14,95.84738681218998,0
101,STOP_A,16,0,1,11,16.27813565257307,0
Red,STOP_B,14,3,0,15,-438.90617582446646,0
101,STOP_D,8,0,0,2,544.0701612678558,1
Red,STOP_B,17,4,1,14,184.8874421608514,0
Green,STOP_C,11,5,0,19,343.7861299575628,1
Green,STOP_D,20,4,0,5,-6.730406872610871,0
Green,STOP_C,15,4,0,7,255.66222740179703,0
Red,STOP_D,11,2,1,10,83.54206832845328,0
Blue,STOP_D,9,3,0,16,242.31330293475452,0
Green,STOP_A,15,5,0,3,650.3360421707973,1
101,STOP_C,6,0,0,14,57.553451751717205,0
